"ex# (Niches: 4NCase#. Object#
Tower cases: 4NCase#. Shelf#.Object#) ",accession#,object name,"h"" x w"" d""",mount,misc. info,,,
4N02.19,L1927.1 #56,Plane,6 1/4 x 9 1/2 in.,,,,,
4N02.20,L1927.1 #58,Plane,6 5/8 x 9 9/16 in.,,,,,
4N02.21,L1927.1 #62,Plane,6 1/4 x 9 5/8 in.,,,,,
4N02.22,L1927.1 #18,Plow Plane,11 1/4 x 9 x 6 1/2 in.,NONE,RISER,,,
4N02.23,L1927.1 #66,Plow Plane,9 3/4 x 8 5/8 x 4 3/8 in.,NONE,RISER,,,
4N02.24,L1927.1 #4,Ruler,12 1/2 x 1 3/8 in.,PIN WALL MOUNT,NONE,,,
4N02.25,L1927.1 #5,Brace,13 1/2 x 4 3/4 in.,,,,,
4N02.26,L1927.1 #9 [dup],Dual Caliper,2 1/2 x 4 in.,,,,,
4N02.27,L1927.1 #13,Saw,4 1/2 x 14 in.,,,,,
4N02.28,L1927.1 #14,Tenon Saw,4 3/4 x 16 3/4 in.,,,,,
4N02.29,L1927.1 #15,Frame Saw,11 1/4 x 20 1/2 in.,,,,,
4N02.30,L1927.1 #17,Spoke Shave,1 3/8 x 10 5/8 in.,,,,,
4N02.31,L1927.1 #19,Level,9 x 1 1/4 in.,,,,,
4N02.32,L1927.1 #21,Square,26 1/2 x 15 1/2 in.,,,,,
4N02.33,L1927.1 #22,Caliper,5 3/8 x 3 in.,,,,,
4N02.34,L1927.1 #23,Square,3 1/4 x 2 3/4 in.,,,,,
4N02.35,L1927.1 #24,Bevel,"Closed: 6 5/8 x 1 5/8 in., 
Max open: 6 5/8 x 7 in.",,,,,
4N02.36,L1927.1 #27,Vise,"Handles: 10 in. long, Jaws: 8 in. long
Max total: 20 in., Min total: 10 in.",,,,,
4N02.37,L1927.1 #28,Vise,"Handles: 10 in. long, Jaws: 8 in. long
Current total: 15 1/2 in.",,,,,
4N02.38,L1927.1 #29,Spoke Shave,3/4 x 9 3/4 in.,,,,,
4N02.39,L1927.1 #30,Spoke Shave,3/4 x 8 15/16 in.,,,,,
4N02.40,L1927.1 #31,Angle Measure,4 1/4 x 9 in.,,,,,
4N02.41,L1927.1 #32,Saw,13 x 1 1/4 in.,,,,,
4N02.42,L1927.1 #33,Gauge,3 1/4 x 11 3/4 in.,,,,,
4N02.43,L1927.1 #34,Gauge,8 1/2 x 3 in.,,,,,
4N02.44,L1927.1 #63,Gauge,21 x 4 3/4 x 4 1/8 in.,,,,,
4N02.45,L1927.1 #65,Saw,5 1/2 x 24 in.,,,,,
4N03. CHAIRS,,,,,,,,
4N03.4.1,X.480,Federal armchair,35 3/4 x 24 x 18 3/4 in.,NONE,NON-SKID MATERIAL UNDER FEET (TEFLON?),,,
4N03.1.2,1943.428a,Queen Anne chair,40 1/4 x 21 3/4 x 16 in.,NONE,,,,
4N03.3.3,2016.NEW,Four seasons chair,29½ x 23¼  x 22 in,NONE,,,,
4N03.2.4,2000.888,Bertoia chair,30 x 21 1/4 x 19 1/4 in.,NONE,,,,
4N04. ARTIST AT WORK,,,,,,,,
4N04.1,1939.252,Diana of the Chase,99 x 33 x 29 1/2 in.,NONE,"MEZZ, RISER",,,
4N04.6,INV.8605a-c,Document case with two primed canvases,23 3/4 x 2 1/2 x 2 1/2 in. (cylinder),SECURE TO EASEL,WITH 2 ROLLED CANVASES,,,
4N04.11,1933.201,Sofa,25 x 40 1/2 x 21 in.,NONE,NONE,,,
4N04.12,1932.237,Tabouret,28 1/8 x 26 x 22 1/4 in.,NONE,NONE,,,
4N04.13,1903.7,"Study from Nature, Hoboken, NJ",14 x 10 1/4 in.,WALL MOUNT,SHOW UNFRAMED,,,
4N04.14,1903.8,"Study from Nature, Hoboken, NJ",11 x 14 1/4 in.,NONE,SHOW UNFRAMED,,,
4N04.17,1895.13,Asher B. Durand (portrait),Framed: 37 x 32 x 3 1/2 in.,HANG ON WIRE,NONE,,,
4N04.18,PR.020.FF.1,Interior of Durand's Studio,Sheet: 13 7/8 x 16 15/16 in. Image: 7 5/8 x 9 9/16in.,NONE,REPRO BLOW UP,,,
4N04.19,PURCHASE,Easel,,NONE,PURCHASE,,,
4N04.20,1933.46,Durand door plaque,1 1/8 x 4 1/2 x 1/8 in.,NONE,NONE,,,
4N04.21,1933.47,Cigar box,1 1/8 x 5 5/16 x 3 in.,NONE,NONE,,,
4N04.22,1932.47,Nature Study: A Birch Tree,22 x 16 3/4 in.,NONE,SHOW UNFRAMED,,,
4N04.23,1930.12,Landscape in Sepia: Trees with Brook,37 1/8 x 41 1/4 in.,DISPLAY ON EASEL,SHOW UNFRAMED,,,
4N04.24,1932.237b.65,Brush (bristles damaged),12 3/4 x 3/16 in.,NONE,DISPLAY ON TOP OF TABOURET 1932.237,,,
4N04.25,1932.237b.27,Brush - flat,12 5/16 x 7/16 in.,NONE,,,,
4N04.26,1932.237.e6,Palette knife,7 3/8 x 9/16 in.,NONE,,,,
4N04.27,1932.237.c34,Paint tube,4 1/8 x 3/4 in.,NONE,,,,
4N04.28,1932.237b.1,Brush - badger hair quill blender,10 7/8 x 2 in.,NONE,,,,
4N04.29,1932.237.d2,Paint palette,16 5/8 x 11 5/8 in.,NONE,,,,
4N04.30,1932.237.c17,Paint tube,2 1/8 x 13/16 in.,NONE,,,,
4N04.31,1932.237.c16,Paint tube,3 15/16 x 3/4 in.,NONE,,,,
4N05. SEATS OF POWER,,,,,,,,
4N05.1,1857.11,Armchair,65 x 31 x 27 in.,NONE,"MEZZ, RISER",,,
4N05.2,1817.13,Morris chaise,41 x 23 x 21,NONE,RISER,,,
4N05.3,1867.438,Napoleon chair,38 x 26 3/4 x 28 in.,NONE,RISER,,,
4N05.4,1862.1,Pipe tomahawk,19 x 6 7/8 x 1 1/8 in.,PIN WALL MOUNT,NONE,,,
4N05.5,1893.1,Portrait of Red Jacket,Framed: 40 1/2 x 30 1/2 in.,HANG ON WIRE,NONE,,,
4N05.6,1939.99,Napoleon bust,23 1/4 x 16 3/4 x 10 1/4 in.,AW,COLUMN PEDESTAL,,,
4N05.7,loan,Gvn. Morris bust,26 x 20 1/2 x 12 in.,AW,COLUMN PEDESTAL,,,
4N06. CERAMICS 1 ,,,,,,,,
MZ,,,,,,,,
4N06.3.1,1910.24,Punch bowl depicting the landing of Lafayette,23 x 32 in.,NONE,SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS,,,
4N06.1.2,1946.6a,Sevres beaker vase, 24 1/8 x 12 1/8 in.,NONE,,,,
4N06.2.3,1969.17ab,Urn with cover,13 x 8 x 6 1/4 in. ,NONE,,,,
4N06.2.4,1969.16a,Urn with cover,17 x 10 x 9 in. ,NONE,,,,
4N06.2.5,1969.16b,Urn with cover,17 x 10 x 9 in. ,NONE,,,,
4N06.2.6,1965.4ab,Urn with lid,23 1/2 x 12 x 9 1/2 in. ,NONE,,,,
4N06.2.7,1965.4cd,Urn with lid,23 1/2 x 12 x 9 1/2 in.,NONE,,,,
LC-TOP  (Staffordshire),,,,,,,,
4N06.4.8,1961.237,Platter,1 1/2 x 22 x 17 1/2 in.,PIN WALL MOUNT,NONE,,,
4N06.4.9,1927.56,Platter,1 1/4 x 15 1/4 x 11 3/4 in.,ACRYLIC PLATE STAND,"SILICONE SHEET TO PREVENT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,
4N06.4.11,1961.292,Platter,1 x 9 1/4 x 7 1/2 in.,ACRYLIC PLATE STAND,,,,
4N06.4.12,1961.293,Platter,1 x 9 3/4 x 7 7/8 in.,ACRYLIC PLATE STAND,,,,
4N06.4.13,1961.338ab,Soup tureen and cover,11 3/4 x 15 1/2 x 10 in.,NONE,,,,
4N06.4.14,1940.312,Plate,3/4 x 7 1/8 in.,ACRYLIC PLATE STAND,,,,
4N06.4.15,1961.77,Plate,3/4 x 5 1/2 in.,ACRYLIC PLATE STAND,,,,
4N06.4.16,1940.304,Plate,3/4 x 7 1/2 in.,ACRYLIC PLATE STAND,,,,
4N06.4.17,1940.178ab,Cup and saucer,Cup: 2 3/8 x 3 5/8 in. Saucer: 1 3/8 x 5 3/4 in.,NONE,,,,
4N06.4.18,1961.330ab,Sugar bowl with lid,5 x 6 x 4 in.,NONE,,,,
4N06.4.19,1940.963ab,Teapot,5 1/4 x 9 1/4 x 5 3/4 in.,NONE,,,,
4N06.4.20,1961.336,Creamer,3 3/4 x 5 5/8 x 3 in.,NONE,,,,
4N06.4.21,INV.14422,Caster,4 1/2 x2 1/2 in.,NONE,,,,
4N06.4.22,1926.45,Waste bowl,3 1/4 x 6 1/4 in.,NONE,,,,
4N06.4.59,1961.249,Platter,2 x 16 1/2 x 13 in.,ACRYLIC PLATE STAND,,,,
LC-MIDDLE (20th & 21st Century),,,,,,,,
4N06.5.23,2016.20.5,Glazed porcelain oyster plate,9 1/2 x 9 1/4 x 1 in.,ACRYLIC PLATE STAND,"SILICONE SHEET TO PREVENT DRIFT

STEPPED RISER",,,
4N06.5.24,2016.20.4,Glazed porcelain paper plate,11 x 5 in.,NONE,,,,
4N06.5.25,2016.20.3,Glazed porcelain paper plate,7 1/2 x 5 in.,NONE,,,,
4N06.5.26,2016.20.2,Glazed porcelain paper plate,5 1/4 x 5 in.,NONE,,,,
4N06.5.27,2016.20.1,Glazed porcelain mug,3 3/4 x 4 x 3 1/4 in.,NONE,,,,
4N06.5.28,2016.12,Glazed earthenware,13 1/2 x 9 1/4 x 1 in.,ACRYLIC PLATE STAND,,,,
4N06.5.29,2013.7,Plate,D: 10 1/2 in.,PIN WALL MOUNT,NONE,,,
4N06.5.30,1955.92,Plate,1 x 9 7/8 in.,PIN WALL MOUNT,NONE,,,
4N06.5.31,2008.23.3,Soup bowl,8 x 1 1/2 in.,ACRYLIC PLATE STAND,"SILICONE SHEET TO PREVENT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,
4N06.5.32,2008.23.2,Plate,8 in.,ACRYLIC PLATE STAND,,,,
4N06.5.33,2008.23.1,Dinner plate,10 3/4 in.,ACRYLIC PLATE STAND,,,,
4N06.5.34,2003.56.6d,Platter,1 1/2 x 5 x 7 in.,NONE,,,,
4N06.5.35,2003.56.6c,Platter,1 1/2 x 6 x 9 in.,NONE,,,,
4N06.5.36,2003.56.6b,Platter,2 x 7 1/2 x 10 1/2 in.,NONE,,,,
4N06.5.37,2003.56.4ab,Salt and pepper shakers,4 1/2 x 3 x 3 in.,NONE,,,,
4N06.5.38,2003.23.9,Vase,7 x 3 in.,NONE,,,,
4N06.5.39,2003.23.8,Vase,7 x 3 in.,NONE,,,,
4N06.5.40,2003.23.7,Vase,7 x 3 in.,NONE,,,,
4N06.5.41,2003.23.5,Vase,9 3/4 x 3 1/4 in.,NONE,,,,
4N06.5.42,2003.23.4,Vase,9 3/4 x 3 1/4 in.,NONE,,,,
4N06.5.43,2003.23.3,Vase,9 3/4 x 3 1/4 in.,NONE,,,,
4N06.5.44,2003.23.2,Vase,9 3/4 x 3 1/4 in.,NONE,,,,
4N06.5.45,2003.23.1,Vase,11 3/4 x 4 3/8 in.,NONE,,,,
LC-BOTTOM (New York City Stoneware),,,,,,,,
4N06.6.46,1937.579,Ring bottle, 6 1/2 x 5 1/2 x 1 3/4 in.,NONE,"SILICONE SHEET TO PREVENT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,
4N06.6.47,1937.524,Pitcher, 5 3/4 x 5 x 6 1/2 in. ,NONE,,,,
4N06.6.48,1928.56,Jug, 8 x 5 1/2 in.,NONE,,,,
4N06.6.49,1937.824,Jug,6 3/4 x 4 1/2 x 4 1/2 in. ,NONE,,,,
4N06.6.50,1937.816,Jar,9 x 8 1/4 in.,NONE,,,,
4N06.6.51,1937.818,Jar, 10 1/4 x 7 3/4 in.,NONE,,,,
4N06.6.52,1937.808,Jug,11 x 7 1/2 in. ,NONE,,,,
4N06.6.53,1937.587,Batter pitcher,11 x 8 1/2 in. ,NONE,,,,
4N06.6.54,1935.113,Pot,11 1/2 x 9 1/2 in.,NONE,,,,
4N06.6.55,1937.820,Jug,12 x 7 3/4 in.,NONE,,,,
4N06.6.56,1937.807,Jug, 12 x 9 in. ,NONE,,,,
4N06.6.57,1927.84,Jar,13 x 8 in.,NONE,,,,
4N06.6.58,1937.811,Jug, 14 1/4 x 9 1/2 in.,NONE,,,,
4N07. SLAVERY,,,,,,,,
4N07.1,1954.79,Lincoln Head,43 3/4 in,NONE,"MEZZ, RISER",,,
4N07.2,1911.92,Roundabout chair,32 1/2 x 21 x 21 in.,NONE,NONE,,,
4N07.3,INV.6313,Iron shackles,"Each Shackle: 6 x 6 x 1 in. 
Length of chain: 11x 2 x 5/8 in.",WALL MOUNT,NONE,,,
4N07.4,1957.187,Copper kettle,10 1/4 x 8 1/2 in.,NONE,PEDESTAL,,,
4N07.5,1941.444,Lantern,14 x 6 1/4 in.,WALL MOUNT,NONE,,,
4N07.6,1939.231ab,Porcelain cup & saucer,"Cup: 2 3/4 x 4 1/8 x 3 in. 
Saucers: 5 1/4 x 1 in.",NONE,WALL SHELF,,,
4N07.7,1937.1593,Wood pitcher,4 5/8 x 6 3/4 x 3 1/2 in.,NONE,ON TABLE,,,
4N07.8,1947.258,Table,24 1/2 x 37 1/2 x 23 in.,NONE,NONE,,,
4N07.9,569a-e,Tea caddy,4 1/2 x 8 1/2 x 5 in.,NONE,WALL SHELF,,,
4N07.10,1952.7,Musket,Overall: 69 1/4 in. Barrel: 52 1/4 in.,WALL MOUNT,NONE,,,
4N07.11,1956.159,Dress sword,40 1/8 x 4 1/4 x 3 1/8 in.,WALL MOUNT,NONE,,,
4N07.12,1862.3,Portrait of Rip Van Dam,30 1/4 x 25 1/2 in.,HANG ON WIRE,NONE,,,
4N07.13,1964.66f,Pewter plate,1 x 7 1/2 in.,NONE,ON TABLE,,,
4N07.14,1932.117,Hastier silver teaspoon,5 5/8 x 7/8 x 1/2 in.,PIN CLUTCHES,ON LABEL DECK,,,
4N07.15,1952.109,Wynkoop silver TBD,8 x 7 3/8 x 5 1/4 in.,NONE,ON TABLE,,,
4N07.16,REPRO,Negro sale,TBD,WALL MOUNT,REPRO,,,
4N07.17,2015.46,Pewter commode pan,8 x 11 1/2 in.,NONE,RISER,,,
4N07.18,2010.12.2,Bottle,7 x 5 1/2 in.,NONE,ON TABLE,,,
4N08. PORT,,,,,,,,
4N08.1,1936.798,Ship's wheel,55 x 60 x 22 in.,NONE,"MEZZ, RISER",,,
4N08.2,1991.069.0056,Izzie of Albany model,30 x 27 x 6 in.,AW,PEDESTAL,,,
4N08.3,2001.026.0063,Kaiser Wilhelm 2 model,Model: 19 x 52 x 6 in. Case: 14.7 x 71.7 x 13.1 in.,AW,PEDESTAL,,,
4N08.4,1984.022.0001,Gowanus model,30 x 50 x 20 in.,AW,RISER,,,
4N08.5,1957.139,Mary Powell model,17 1/4 x 63 1/4 x 8 3/4 in.,AW,PEDESTAL,,,
4N08.6,1984.106,Flying Cloud model,28 5/8 x 41 1/2 x 12 7/8 in.,AW,PEDESTAL,,,
4N08.7,2008.009.0001,Queen Mary life ring,D: 30 in.,WALL MOUNT,NONE,,,
4N08.8,1936.671,Ship's port lantern,14 1/4 x 9 x 7 1/2 in.,HOOK FROM CEILING,NONE,,,
4N08.9,1936.672,Ship's starboard lantern,14 1/2 x 8 3/4 x 7 1/2 in.,,NONE,,,
4N08.10,loan,NY Harbor painting,78 1/2 x42 1/2 in.,HANG ON WIRE,NONE,,,
4N09. GLASS ,,,,,,,,
MZ,,,,,,,,
4N09.1.1,INV.6558ab,Apothecary jar,26 1/4 x 8 x 8 in.,NONE,SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS,,,
4N09.1.2,INV.14924ab,Apothecary jar,28 1/4 x 8 in.,NONE,,,,
4N09.1.3,INV.11860ab,Apothecary jar,14 5/8 x 7 in.,NONE,,,,
4N09.1.4,INV.11856ab,Show jar ,15 x 6 in.,NONE,,,,
4N09.1.5,INV.11860ab,Apothecary jar,70 1/2 x 7 in. ,NONE,,,,
4N09.2.6,1945.471a,Demijohn,17 1/2 x 17 x 7 in.,NONE,,,,
4N09.2.7,1953.138,Demijohn,16 1/2 x 16 1/2 x 7 in.,NONE,,,,
4N09.2.8,1945.471b,Demijohn,16 1/2 x 14 1/2 x 8 in.,NONE,RISER,,,
4N09.3.9,1965.543b,Kerosene lamp,29 x 8 1/2 x 8 1/2 in.,NONE,SILICONE SHEET TO PREVENT DRIFT,,,
4N09.3.10,X.188.1-2,Kerosene lamp,26 1/2 x 9 1/2 in.,NONE,,,,
LC-TOP (Colorless),,,,,,,,
4N09.4.11,1965.771c,Decanter,6 1/8 x 3 1/4 x 2 1/2 in. ,NONE,"SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,
4N09.4.12,1965.770f,Mug,4 1/4 x 4 1/2 x 3 1/8 in. ,NONE,,,,
4N09.4.13,1952.212ab,Beaker (or tumbler) with cover,8 1/4 x 6 1/4 in. ,NONE,,,,
4N09.4.14,1938.50,Engraved beaker (or tumbler),8 3/8 x 6 1/4 in. ,NONE,,,,
4N09.4.15,1940.962,Case bottle, 9 1/2 x 4 7/8 x 3 1/8 in. ,NONE,,,,
4N09.4.16,1911.67aa,Cordial glass,3 5/8 x 1 3/8 x 1 3/8 in. ,NONE,,,,
4N09.4.17,1944.58i,Tumbler, 4 x 3 in. ,NONE,,,,
4N09.4.18,1944.58a,Decanter with stopper,13 3/4 x 3 1/8 in. ,NONE,,,,
4N09.4.19,1911.67c,Decanter with stopper,11 x 4 1/2 in. ,NONE,,,,
4N09.4.20,1965.780a,Rummer,5 7/8 x 4 1/4 in. ,NONE,,,,
4N09.4.21,1952.238,Tray,1 x 7 x 4 1/2 in. ,NONE,,,,
4N09.4.22,1952.66b,Celery glass, 8 1/4 x 5 in. ,NONE,,,,
4N09.4.23,1952.66a,Celery glass, 8 1/4 x 5 in. ,NONE,,,,
4N09.4.24,INV.14409,Window pane,7 x 5 x 1/4 in. ,NONE,,,,
4N09.4.25,1965.801a,Sugar bowl with cover,5 1/4 x 4 3/4 x 4 3/4 in. ,NONE,,,,
4N09.4.26,1968.22,Tumbler,3 1/2 x 3 in. ,NONE,,,,
4N09.4.27,1948.286ab,Decanter with stopper,9 1/2 x 5 in. ,NONE,,,,
4N09.4.28,1944.134ab,Decanter-jug,12 1/2 x 6 x 5 3/4 in. ,NONE,,,,
4N09.4.29,INV.507,Dish,5 3/8 x 5 1/4 in. ,NONE,,,,
4N09.4.30,INV.3744,Cream jug,3 x 3 x 2 in. ,NONE,,,,
4N09.4.31,INV.12457,Tumbler,3 1/4 x 3 1/8 in. ,NONE,,,,
4N09.4.32,1952.213,Pitcher,6 x 6 x 4 in. ,NONE,,,,
4N09.4.33,1961.415,Pitcher,9 1/2 x 9 x 5 in. ,NONE,,,,
4N09.4.34,1953.460a,Decanters with stoppers (pair),12 3/4 × 5 in. ,NONE,,,,
4N09.4.35,INV.3269ab,Decanter with stopper,9 x 4 in. ,NONE,,,,
4N09.4.36,1965.784e,Mug,2 3/4 x 4 1/4 x 3 in. ,NONE,,,,
4N09.4.37,2010.25a-h,"Set of eight ""New York"" glasses",3 3/4 x 3 1/8 in. ,NONE,,,,
LC-MIDDLE (Medium),,,,,,,,
4N09.5.38,INV.4002,Butter mold,2 1/2 x 4 3/8 in.,NONE,"SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,
4N09.5.39,1937.1048,Figured bottle,12 1/2 x 3 in.,NONE,,,,
4N09.5.40,1945.291,Figured flask,9 x 6 x 3 in.,NONE,,,,
4N09.5.41,1953.394,Figured flask,7 7/8 x 5 1/2 x 2 in.,NONE,,,,
4N09.5.42,1961.53,Figured flask,9 3/8 x 5 3/4 x 4 1/2 in.,NONE,,,,
4N09.5.43,1961.411,Bowl,2 1/2 x 7 1/2 in.,NONE,,,,
4N09.5.44,1952.208,Vase,7 1/2 x 6 x 4 in.,NONE,,,,
4N09.5.45,1965.718a,Salt,1 1/2 x 3 3/4 x 2 1/4 in.,NONE,,,,
4N09.5.46,1952.168,Cream jug,4 3/4 x 5 x 3 1/2 in.,NONE,,,,
4N09.5.47,1952.175,Cream jug,4 1/2 x 4 1/2 x 2 5/8 in.,NONE,,,,
4N09.5.48,1952.176,Cruet,5 1/2 x 2 1/2 in.,NONE,,,,
4N09.5.49,1937.1518ab,Kerosene lamp,8 1/4 x 3 in.,NONE,,,,
4N09.5.50,1938.59ab,Sugar bowl,6 3/4 x 4 3/4 in.,NONE,,,,
4N09.5.51,INV.12469,Footed salt,2 1/2 x 2 1/2 in.,NONE,,,,
4N09.5.52,1937.1015ab,Toilet bottle,6 1/4 x 2 1/2 in.,NONE,,,,
4N09.5.53,INV.545ab,Firing glasses (pair),4 5/8 x 2 3/4 in.,NONE,,,,
4N09.5.54,1937.742,Figured flask,8 3/4 x 6 x 3 in.,NONE,,,,
4N09.5.55,1953.380,Figured flask,7 x 5 x 2 in.,NONE,,,,
4N09.5.56,1937.1040,Figured flask,6 x 3 x 2 in.,NONE,,,,
4N09.5.57,1953.386,Figured flask,9 1/2 x 5 3/4 x 2 1/2 in.,NONE,,,,
4N09.5.58,1952.207,Pitcher,7 x 6 x 4 1/2 in.,NONE,,,,
4N09.5.59,1937.1056,Carafe,9 1/2 x 5 1/4 in.,NONE,,,,
4N09.5.60,1937.1655,Bottle,8 1/2 x 5 3/4 in.,NONE,,,,
4N09.5.61,1937.1656,Bottle,10 x 4 1/4 in.,NONE,,,,
LC-BOTTOM (Dark),,,,,,,,
4N09.6.62,1952.200,Jug,7 x 6 x 5 in.,NONE,"SILICONE SHEET TO PREVENT OBJECT DRIFT FROM SUBWAY VIBRATIONS

STEPPED RISER",,,
4N09.6.63,1952.184,Candlestick,5 7/8 x 3 7/8 in.,NONE,,,,
4N09.6.64,1938.268,Footed salt,2 1/2 x 2 1/2 in.,NONE,,,,
4N09.6.65,INV.12481,Pewter,5 3/4 x 2 3/4 x 2 in.,NONE,,,,
4N09.6.66,1951.358,Decanter,10 1/4 x 5 1/4 in.,NONE,,,,
4N09.6.67,1952.182,Vase,7 7/8 x 5 in.,NONE,,,,
4N09.6.68,1953.474,Cream jug,4 1/2 x 5 3 1/4 in.,NONE,,,,
4N09.6.69,1952.191ab,Toilet bottle,Overall (without stopper): 5 1/2 x 2 1/2 in.,NONE,,,,
4N09.6.70,1942.503,Pocket bottle,4 5/8 x 3 1/2 x 2 1/2 in.,NONE,,,,
4N09.6.71,1953.356,Figured flask,7 x 5 x 2 in.,NONE,,,,
4N09.6.72,1937.746,Figured flask,5 1/2 x 4 x 2 in.,NONE,,,,
4N09.6.73,1953.370,Figured glask,7 3/4 x 4 x 2 3/4 in.,NONE,,,,
4N09.6.74,1937.1043,Figured flask,8 3/4 x 5 1/2 x 2 5/8 in.,NONE,,,,
4N09.6.75,1953.413,Bitters bottle,10 1/4 x 3 x 3 in.,NONE,,,,
4N09.6.76,1953.427,Bitters bottle,3 3/4 x 10 x 2 3/4 in.,NONE,RISER,,,
